gene_id	WT_sIM_rep4	WT_sFM_rep3
gene:Solyc00g500017.1	0.0	0.0
gene:Solyc00g500018.1	0.0	0.0
gene:Solyc00g500019.1	0.0	0.0
gene:Solyc00g500020.1	0.23	0.08
gene:Solyc00g500021.1	2.28	4.2
gene:Solyc00g500022.1	0.56	0.45
gene:Solyc00g500023.1	1.36	1.27
gene:Solyc00g500024.1	0.25	0.08
gene:Solyc00g500025.1	0.0	0.0
gene:Solyc00g500026.1	0.0	0.0
gene:Solyc00g500028.1	0.0	0.19
gene:Solyc00g500029.1	0.34	0.0
gene:Solyc00g500030.1	0.49	0.34
gene:Solyc00g500031.1	0.47	0.16
gene:Solyc00g500032.1	0.87	0.81
gene:Solyc00g500033.1	0.0	0.0
gene:Solyc00g500034.1	0.56	0.35
gene:Solyc00g500035.1	0.94	1.86
gene:Solyc00g500036.1	1.0	1.08
gene:Solyc00g500037.1	0.1	0.01
gene:Solyc00g500038.1	0.0	0.0
gene:Solyc00g500039.1	0.11	0.0
gene:Solyc00g500040.1	0.0	0.0
gene:Solyc00g500041.1	0.0	0.0
gene:Solyc00g500042.2	0.39	0.25
gene:Solyc00g500043.1	0.0	0.03
gene:Solyc00g500044.1	0.11	0.0
gene:Solyc00g500045.1	0.0	0.0
gene:Solyc00g500046.1	0.0	0.01
gene:Solyc00g500047.1	0.25	0.16
gene:Solyc00g500048.1	0.08	0.11
gene:Solyc00g500049.1	0.13	0.0
gene:Solyc00g500050.1	0.0	0.0
gene:Solyc00g500051.1	0.0	0.0
gene:Solyc00g500052.1	0.0	0.0
gene:Solyc00g500053.2	0.05	0.05
gene:Solyc00g500054.1	0.32	0.07
gene:Solyc00g500055.1	0.33	0.28
gene:Solyc00g500056.1	0.2	0.06
gene:Solyc00g500057.1	0.33	0.17
gene:Solyc00g500058.1	0.0	0.13
gene:Solyc00g500059.1	0.0	0.0
gene:Solyc00g500061.1	0.3	0.0
gene:Solyc00g500062.1	0.2	0.55
gene:Solyc00g500063.1	0.82	0.39
gene:Solyc00g500064.1	0.0	0.13
gene:Solyc00g500065.1	0.04	0.04
gene:Solyc00g500066.1	0.0	0.0
gene:Solyc00g500067.1	0.23	0.08
gene:Solyc00g500068.1	2.28	4.2
gene:Solyc00g500069.1	0.0	0.0
gene:Solyc00g500070.1	0.0	0.0
gene:Solyc00g500071.1	0.25	0.08
gene:Solyc00g500072.1	0.0	0.0
gene:Solyc00g500073.1	0.27	0.0
gene:Solyc00g500074.1	0.34	0.0
gene:Solyc00g500075.1	0.49	0.34
gene:Solyc00g500076.1	0.47	0.16
gene:Solyc00g500077.1	0.87	0.81
gene:Solyc00g500078.1	0.0	0.0
gene:Solyc00g500079.1	0.94	1.86
