gene_id	2-2	1-1	2-3	1-3	1-2	2-1
ENSMUSG00000000889	0.59	0.48	0.4	0.37	0.13	0.41
ENSMUSG00000000901	5.26	3.42	4.58	3.66	2.74	5.8
ENSMUSG00000000902	22.82	17.43	21.83	18.2	17.54	21.65
ENSMUSG00000000903	1.03	0.0	0.49	0.0	0.0	1.99
ENSMUSG00000000915	7.04	8.62	9.76	7.75	7.23	7.33
ENSMUSG00000000916	14.86	4.95	19.22	5.39	4.61	19.12
ENSMUSG00000000934	5.75	4.31	5.95	4.56	4.11	4.83
ENSMUSG00000000938	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000942	0.0	0.0	0.0	0.04	0.0	0.0
ENSMUSG00000000948	0.32	0.74	0.83	2.43	0.89	0.45
ENSMUSG00000000957	13.4	47.61	15.74	57.67	47.46	13.57
ENSMUSG00000000958	3.48	2.19	3.14	1.84	2.54	4.25
ENSMUSG00000000959	40.84	28.23	45.44	28.7	28.65	44.33
ENSMUSG00000000976	4.72	2.89	4.08	2.95	2.71	4.44
ENSMUSG00000000982	0.0	0.91	0.28	1.35	0.38	0.0
ENSMUSG00000000983	0.0	0.0	0.0	0.21	0.0	0.0
ENSMUSG00000001014	0.56	0.55	0.76	0.52	0.13	0.78
ENSMUSG00000001016	28.01	22.59	28.6	22.31	20.86	29.11
ENSMUSG00000001017	60.81	46.04	74.46	46.9	45.73	69.45
ENSMUSG00000001018	17.05	20.34	15.95	16.44	19.13	15.42
ENSMUSG00000001020	122.56	204.68	138.3	240.42	169.86	142.74
ENSMUSG00000001021	0.84	1.06	0.76	0.89	1.51	0.77
ENSMUSG00000001023	0.25	0.0	0.3	0.0	0.0	0.0
ENSMUSG00000001025	668.6	689.24	672.53	887.7	660.98	680.12
ENSMUSG00000001027	0.14	0.02	0.03	0.01	0.01	0.1
ENSMUSG00000001029	5.95	5.77	5.67	4.06	4.08	4.24
ENSMUSG00000001034	6.8	5.47	10.02	5.26	4.51	9.16
ENSMUSG00000001036	16.11	16.63	16.86	12.83	13.51	16.05
ENSMUSG00000001039	7.91	4.59	13.2	5.94	7.47	9.28
ENSMUSG00000001052	14.37	13.74	15.91	14.32	14.9	12.53
ENSMUSG00000001053	2.8	1.24	6.14	1.1	1.45	4.76
ENSMUSG00000001054	12.32	10.81	18.86	10.53	9.13	15.49
ENSMUSG00000001056	77.49	42.41	142.44	48.43	40.41	89.7
ENSMUSG00000001062	12.87	7.85	13.61	8.3	9.74	13.84
ENSMUSG00000001065	9.26	3.99	11.98	3.71	2.58	11.91
ENSMUSG00000001076	0.0	0.09	0.0	0.0	0.12	0.02
ENSMUSG00000001082	13.4	7.94	14.8	8.46	8.41	17.06
ENSMUSG00000001089	27.97	15.28	24.19	14.82	16.56	26.2
ENSMUSG00000001095	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001098	85.17	83.97	97.87	93.08	80.32	100.87
ENSMUSG00000001100	97.05	54.5	99.37	56.95	55.23	93.14
ENSMUSG00000001103	0.0	0.0	0.0	0.0	0.0	0.11
ENSMUSG00000001105	25.38	36.73	44.99	38.45	33.75	33.88
ENSMUSG00000001119	2.85	13.4	3.5	14.17	12.48	3.3
ENSMUSG00000001120	1.76	1.49	1.61	2.18	2.8	2.26
ENSMUSG00000001123	8.58	6.47	9.23	7.26	6.11	7.5
ENSMUSG00000001127	38.06	38.59	53.52	41.4	37.98	50.35
ENSMUSG00000001128	2.18	1.89	2.5	1.89	1.95	1.75
ENSMUSG00000001131	80.23	140.94	77.9	161.97	126.37	86.93
ENSMUSG00000001134	39.33	20.55	32.12	22.77	19.2	31.36
ENSMUSG00000001138	4.87	2.58	4.18	2.5	2.19	5.33
ENSMUSG00000001143	8.68	10.7	9.07	12.27	10.27	9.2
ENSMUSG00000001150	14.25	11.79	9.65	10.19	10.58	10.71
ENSMUSG00000001151	2.45	5.75	2.22	3.03	4.27	3.16
ENSMUSG00000001155	0.11	0.44	0.82	0.56	0.07	0.09
ENSMUSG00000001156	1.88	2.5	2.45	2.19	2.39	2.61
ENSMUSG00000001157	2.35	3.41	2.81	2.58	2.6	2.66
ENSMUSG00000001158	52.66	26.72	53.09	27.26	22.2	52.58
ENSMUSG00000001166	0.46	0.31	0.45	0.66	0.23	0.53
ENSMUSG00000001168	0.03	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001173	7.24	11.08	5.88	11.27	13.27	6.25
ENSMUSG00000001175	93.03	136.37	171.35	110.45	109.15	87.64
ENSMUSG00000001211	123.27	97.31	148.33	108.9	97.8	136.74
ENSMUSG00000001225	0.47	0.0	0.15	0.0	0.0	0.12
ENSMUSG00000001227	0.13	0.67	0.12	0.55	0.62	0.12
ENSMUSG00000001228	1.63	4.46	1.73	5.31	4.78	2.35
ENSMUSG00000001229	8.28	11.89	8.95	13.67	11.98	9.01
ENSMUSG00000001240	2.91	5.08	2.25	9.02	4.05	2.2
ENSMUSG00000001247	0.58	0.43	0.79	0.63	0.08	0.46
ENSMUSG00000001248	30.6	17.92	46.21	17.2	14.11	41.84
ENSMUSG00000001249	1.66	1.49	2.15	1.14	0.86	1.99
ENSMUSG00000001260	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001270	29.68	91.66	103.24	99.82	85.22	66.3
ENSMUSG00000001280	10.37	7.18	8.97	6.39	7.95	10.17
ENSMUSG00000001281	0.34	0.53	1.22	0.37	0.32	0.76
ENSMUSG00000001285	30.2	14.6	32.15	16.53	14.67	34.26
ENSMUSG00000001288	3.75	3.74	3.99	3.62	4.15	4.56
ENSMUSG00000001289	194.63	128.83	196.88	153.11	116.04	186.78
ENSMUSG00000001300	22.47	13.94	21.78	15.43	13.14	21.66
