"Source","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"KEGG","sly04075","Plant hormone signal transduction","31/322","437/11919",8.69131817214207e-07,1.91208999787126e-05,1.35401588366003e-05,"101267355/544083/100191111/101249685/101256828/101268450/101256856/100316895/101262607/101260711/101055548/543723/101265927/606712/101253192/101255303/101055542/101262132/101268587/101258277/101255313/544165/101268417/100736493/101250847/100736541/101246001/101265384/100527977/100134911/101055544",31
"GO","GO:0005506","iron ion binding","50/1256","447/24378",2.36867397865989e-07,2.63937957622102e-05,2.42566463077802e-05,"Solyc10g005400/Solyc06g065730/Solyc04g079730/Solyc10g078240/Solyc08g005610/Solyc03g111940/Solyc06g073570/Solyc02g092860/Solyc12g088460/Solyc05g044630/Solyc01g088760/Solyc02g080330/Solyc06g150137/Solyc01g088170/Solyc02g067540/Solyc02g065190/Solyc04g080650/Solyc05g055400/Solyc09g059240/Solyc09g008913/Solyc02g082070/Solyc06g061023/Solyc11g071580/Solyc12g008650/Solyc04g054256/Solyc04g063245/Solyc09g098030/Solyc11g071600/Solyc08g079420/Solyc05g011940/Solyc01g109140/Solyc01g008650/Solyc11g071610/Solyc04g054258/Solyc04g011680/Solyc03g112040/Solyc00g500068/Solyc00g500021/Solyc10g045220/Solyc00g500136/Solyc00g500054/Solyc00g500206/Solyc00g500067/Solyc00g500020/Solyc00g500062/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130",50
"GO","GO:0009523","photosystem II","18/1256","86/24378",3.14485859109338e-07,3.06623712631605e-05,2.81795881649288e-05,"Solyc09g065910/Solyc08g067330/Solyc09g076030/Solyc00g500328/Solyc07g009000/Solyc00g500078/Solyc00g500136/Solyc00g500054/Solyc00g500206/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130/Solyc00g230070/Solyc00g500073/Solyc00g500071/Solyc00g500024",18
"KEGG","sly04626","Plant-pathogen interaction","21/322","237/11919",1.77473325333958e-06,3.25367763112256e-05,2.30403966223033e-05,"544083/100191111/101248746/100736484/101256237/101268746/101245244/101259138/101255395/101252395/101255501/101259256/544043/101256986/101268787/101268230/101256817/101259700/543942/101260109/543902",21
"GO","GO:0010242","oxygen evolving activity","9/1256","22/24378",6.72013631978009e-07,5.82411814380941e-05,5.35252963014064e-05,"Solyc07g009000/Solyc00g500136/Solyc00g500054/Solyc00g500206/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130",9
"KEGG","sly00130","Ubiquinone and other terpenoid-quinone biosynthesis","9/322","50/11919",6.47295328218392e-06,0.000101717837291462,7.20298560724226e-05,"101264681/101259906/101263978/101251363/101245351/101262919/101257784/778248/101264863",9
"KEGG","sly00902","Monoterpenoid biosynthesis","5/322","16/11919",4.76844949695628e-05,0.000655661805831488,0.000464296398387848,"101260280/109118691/101251042/101265396/101259903",5
"GO","GO:0010287","plastoglobule","11/1256","44/24378",1.03474310185778e-05,0.000807099619449066,0.000741747423542259,"Solyc08g067330/Solyc03g116570/Solyc07g043570/Solyc03g043750/Solyc07g007300/Solyc03g095620/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130",11
"GO","GO:0042546","cell wall biogenesis","10/1256","37/24378",1.23562127703232e-05,0.000876167814622921,0.000805223052305276,"Solyc03g093120/Solyc07g056000/Solyc09g008320/Solyc12g017240/Solyc03g093130/Solyc04g082950/Solyc12g011030/Solyc05g005680/Solyc05g046290/Solyc11g040140",10
"GO","GO:0008137","NADH dehydrogenase (ubiquinone) activity","20/1256","132/24378",1.40685849653174e-05,0.000914458022745633,0.000840412838717646,"Solyc00g500169/Solyc00g500361/Solyc00g500183/Solyc00g500062/Solyc04g160350/Solyc01g017090/Solyc00g160340/Solyc00g500184/Solyc00g500195/Solyc00g160420/Solyc00g500087/Solyc00g125990/Solyc00g021630/Solyc00g500098/Solyc00g500317/Solyc00g500271/Solyc00g160280/Solyc00g013180/Solyc00g019950/Solyc00g500192",20
"GO","GO:0022900","electron transport chain","24/1256","178/24378",1.56873917787821e-05,0.000941243506726925,0.000865029457599239,"Solyc04g078140/Solyc10g044520/Solyc04g082010/Solyc04g074740/Solyc07g150104/Solyc03g117560/Solyc12g098320/Solyc08g066740/Solyc10g045220/Solyc00g500361/Solyc00g500067/Solyc00g500020/Solyc00g500062/Solyc00g500102/Solyc00g500360/Solyc00g500119/Solyc00g500276/Solyc00g500087/Solyc00g500057/Solyc00g500209/Solyc00g500139/Solyc00g021630/Solyc00g019950/Solyc00g500192",24
"GO","GO:0015979","photosynthesis","19/1256","124/24378",1.94486082168893e-05,0.00108356531494098,0.000995827232759523,"Solyc07g062530/Solyc03g081300/Solyc07g054210/Solyc04g009420/Solyc04g079290/Solyc02g062130/Solyc10g045220/Solyc00g500067/Solyc00g500020/Solyc00g500066/Solyc00g500210/Solyc00g500057/Solyc00g500209/Solyc00g500139/Solyc00g500058/Solyc00g500207/Solyc00g500137/Solyc00g500055/Solyc07g021200",19
"KEGG","sly00460","Cyanoamino acid metabolism","7/322","41/11919",0.000100360920480533,0.00122663347253985,0.000868620832229175,"101250040/101257526/101255272/101261903/101245862/101266793/101259725",7
"GO","GO:0009055","electron transfer activity","19/1256","128/24378",3.0685398950905e-05,0.00159564074544706,0.00146643906565378,"Solyc04g078140/Solyc10g044520/Solyc04g082010/Solyc02g093680/Solyc04g074740/Solyc07g150104/Solyc03g117560/Solyc06g053170/Solyc12g098320/Solyc11g042420/Solyc08g066740/Solyc00g500068/Solyc00g500021/Solyc10g045220/Solyc00g500067/Solyc00g500020/Solyc00g500057/Solyc00g500209/Solyc00g500139",19
"GO","GO:0016762","xyloglucan:xyloglucosyl transferase activity","9/1256","35/24378",5.19789077702491e-05,0.00253397175379964,0.00232879185470655,"Solyc03g093120/Solyc07g056000/Solyc09g008320/Solyc12g017240/Solyc03g093130/Solyc12g011030/Solyc05g005680/Solyc05g046290/Solyc11g040140",9
"GO","GO:0004129","cytochrome-c oxidase activity","9/1256","36/24378",6.61547454152149e-05,0.00303533537787456,0.00278955923391711,"Solyc00g500349/Solyc00g500102/Solyc00g500360/Solyc00g500119/Solyc00g500276/Solyc00g500186/Solyc00g500303/Solyc00g500250/Solyc00g019730",9
"GO","GO:0016682","oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor","5/1256","10/24378",7.30118140284587e-05,0.00316384527456654,0.00290766347095792,"Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130",5
"GO","GO:0010411","xyloglucan metabolic process","9/1256","41/24378",0.00019517186961265,0.00782779709420721,0.0071939673699799,"Solyc03g093120/Solyc07g056000/Solyc09g008320/Solyc12g017240/Solyc03g093130/Solyc12g011030/Solyc05g005680/Solyc05g046290/Solyc11g040140",9
"GO","GO:0009635","response to herbicide","7/1256","25/24378",0.000200712746005313,0.00782779709420721,0.0071939673699799,"Solyc00g500328/Solyc00g500078/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130",7
"KEGG","sly04016","MAPK signaling pathway - plant","14/322","193/11919",0.000755921975121683,0.00831514172633852,0.0058882343325268,"544083/100191111/101268450/101256856/100316895/101252395/606712/101255501/101265257/778264/544165/101268417/101268787/101266770",14
